Time,/RHipRoll/,/LKneePitch/,/LHipPitch/,/RKneePitch/,/LAnklePitch/,/LHipYawPitch/,/RAnkleRoll/,/RHipPitch/,/LHipRoll/,/LAnkleRoll/,/RAnklePitch/
0.943185,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.953101,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.963314,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.973245,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.983191,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.993314,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.00334,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.01341,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.0234,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.03347,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.04334,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.05351,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.06341,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.0735,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.08352,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.09351,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.10346,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.11349,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.12354,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.13353,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.14372,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.15377,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.16376,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.17379,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.18395,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.19379,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.20399,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.21397,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.22396,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.23394,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.244,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.25403,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.26394,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.27402,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.28408,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.29412,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.30413,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.31417,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
