Time,RAnkleRoll,LHipYawPitch,RKneePitch,LKneePitch,RHipRoll,LHipRoll,LHipPitch,LAnklePitch,RHipPitch,LAnkleRoll,RAnklePitch,LFoot/FSR/FrontRight/Sensor/Value,LFoot/FSR/RearLeft/Sensor/Value,LFoot/FSR/FrontLeft/Sensor/Value,LFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/FrontLeft/Sensor/Value,RFoot/FSR/FrontRight/Sensor/Value,RFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/RearLeft/Sensor/Value
0.621615,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0183345,0.541152,0.249398,0,0.158597,0.546126,0.363532,0
0.631631,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0187792,0.545543,0.249398,0,0.157388,0.542552,0.363532,0
0.641814,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.542609,0.252689,0,0.15779,0.539017,0.362371,0
0.651651,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.018601,0.541152,0.252689,0,0.158597,0.541369,0.362951,0
0.661899,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0192264,0.542609,0.253639,0,0.158193,0.541369,0.365284,0
0.67184,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0184232,0.539702,0.253163,0,0.157991,0.542552,0.364115,0
0.681933,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0188684,0.544072,0.253639,0,0.157991,0.54493,0.364115,0
0.691927,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0183345,0.545543,0.254593,0,0.15779,0.541369,0.364115,0
0.701967,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0180689,0.547021,0.254115,0,0.158193,0.542552,0.363532,0
0.711873,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0182459,0.547021,0.255552,0,0.158395,0.542552,0.363532,0
0.742036,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01719,0.547021,0.255072,0,0.158395,0.546126,0.362951,0
0.752071,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0168412,0.547021,0.256033,0,0.159002,0.543739,0.362951,0
0.762016,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0167543,0.545543,0.255552,0,0.158799,0.546126,0.363532,0
0.772084,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0168412,0.547021,0.256516,0,0.158799,0.547326,0.364115,0
0.782068,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0171027,0.547021,0.257484,0,0.159002,0.547326,0.364698,0
0.792183,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0167543,0.547021,0.256516,0,0.16002,0.543739,0.367639,0
0.802131,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.016494,0.547021,0.257969,0,0.159612,0.547326,0.368825,0
0.812185,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0152908,0.549997,0.257484,0,0.158193,0.54493,0.368232,0
0.822185,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0156327,0.548505,0.257484,0,0.158799,0.547326,0.370018,0
0.832116,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0159761,0.549997,0.257484,0,0.158597,0.546126,0.366459,0
0.842149,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0156327,0.549997,0.256999,0,0.158597,0.546126,0.366459,0
