Time,"Device/SubDeviceList/RAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LHipYawPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/RKneePitch/Position/Actuator/Value","Device/SubDeviceList/LKneePitch/Position/Actuator/Value","Device/SubDeviceList/RHipRoll/Position/Actuator/Value","Device/SubDeviceList/LHipRoll/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LHipPitch/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LAnklePitch/Position/Actuator/Value","Device/SubDeviceList/RHipPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/LAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RAnklePitch/Position/Actuator/Value"
1.213,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158813,0.131023,-0.023071,1.5184,-0.66373
1.223,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0178042,0,-0.32887,-0.60538,0,0.159027,0.130557,-0.023071,1.5184,-0.66373
1.23295,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0178042,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.5184,-0.66373
1.24314,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.15967,0.131023,-0.023071,1.51113,-0.66373
1.25305,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.15628,0.13079,-0.023071,1.5184,-0.66373
1.26307,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.1586,0.131256,-0.023071,1.51113,-0.66373
1.27308,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.159241,0.131023,-0.023071,1.5184,-0.66373
1.28315,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.159027,0.130093,-0.023071,1.5184,-0.66373
1.29315,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158387,0.129862,-0.023071,1.5184,-0.66373
1.3031,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.1586,0.130325,-0.023071,1.51113,-0.66373
1.31316,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.159027,0.130325,-0.023071,1.51113,-0.66373
1.3232,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.1586,0.131023,-0.023071,1.51113,-0.66373
1.33335,-0.029866,-0.01174,0.264956,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158387,0.13079,-0.023071,1.5184,-0.66373
1.34329,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.5184,-0.66373
1.35325,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.159027,0.130557,-0.023071,1.51113,-0.66373
1.36338,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.5184,-0.66373
1.37322,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158387,0.13149,-0.023071,1.51113,-0.66373
1.38338,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.1586,0.13079,-0.023071,1.51113,-0.66373
1.39336,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.158387,0.131256,-0.023071,1.51113,-0.66373
1.40342,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0181573,0,-0.32887,-0.60538,0,0.158813,0.131724,-0.023071,1.51113,-0.66373
1.41341,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.1586,0.131256,-0.023071,1.51113,-0.66373
1.42351,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158813,0.131023,-0.023071,1.5184,-0.66373
1.43349,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0180689,0,-0.32887,-0.60538,0,0.158387,0.13079,-0.023071,1.5184,-0.66373
1.44351,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.1586,0.13079,-0.023071,1.51113,-0.66373
