Time, RHipRoll/ , LKneePitch/ , LHipPitch/ , RKneePitch/ , LAnklePitch/ , LHipYawPitch/ , RAnkleRoll/ , RHipPitch/ , LHipRoll/ , LAnkleRoll/ , RAnklePitch/ 
0.511269,0.286675,1.13914,-0.898329,0.919071,-0.393604,-0.0624052,-0.288913,-0.612682,0.283754,-0.300898,-0.459827
0.521246,0.288436,1.1431,-0.904653,0.917149,-0.391736,-0.0630472,-0.290695,-0.61241,0.285796,-0.303159,-0.458671
0.531359,0.290029,1.14678,-0.910705,0.915433,-0.389808,-0.0636368,-0.292307,-0.612188,0.287652,-0.305219,-0.457626
0.5413,0.291603,1.15043,-0.916728,0.913739,-0.387873,-0.0642206,-0.293901,-0.611972,0.289487,-0.307256,-0.456593
0.551455,0.293021,1.15373,-0.922435,0.912237,-0.385852,-0.0647521,-0.295337,-0.611798,0.291134,-0.309094,-0.45567
0.561524,0.294422,1.15698,-0.928108,0.910755,-0.383821,-0.0652778,-0.296755,-0.611628,0.292761,-0.310909,-0.454758
0.571445,0.295677,1.15979,-0.933429,0.909444,-0.381683,-0.0657505,-0.298025,-0.611491,0.294208,-0.312525,-0.453946
0.581471,0.296915,1.16256,-0.938711,0.908151,-0.379533,-0.0662172,-0.299278,-0.611357,0.295636,-0.31412,-0.453145
0.59154,0.298016,1.16485,-0.943604,0.907013,-0.377258,-0.0666307,-0.300392,-0.611247,0.296886,-0.315517,-0.452437
0.6016,0.299101,1.16708,-0.948455,0.905892,-0.374969,-0.0670382,-0.30149,-0.611141,0.298117,-0.316892,-0.45174
0.611607,0.300057,1.16879,-0.952882,0.904916,-0.372539,-0.0673927,-0.30246,-0.611053,0.299169,-0.318074,-0.451135
0.621709,0.300999,1.17044,-0.957263,0.903956,-0.370093,-0.0677412,-0.303415,-0.610967,0.300202,-0.319235,-0.450541
0.631773,0.301816,1.17153,-0.961194,0.903126,-0.367499,-0.0680361,-0.304244,-0.610888,0.301058,-0.320202,-0.450033
0.641746,0.302618,1.17256,-0.965075,0.90231,-0.364888,-0.068325,-0.305059,-0.61081,0.301894,-0.321147,-0.449534
0.651685,0.303302,1.17299,-0.968486,0.901613,-0.362122,-0.0685601,-0.305752,-0.610734,0.302554,-0.321898,-0.449118
0.661736,0.303973,1.17336,-0.971844,0.900928,-0.359338,-0.0687891,-0.306432,-0.610658,0.303196,-0.322627,-0.448711
0.671951,0.304533,1.17314,-0.974712,0.900354,-0.356395,-0.0689645,-0.306996,-0.610581,0.303663,-0.323162,-0.448385
0.681732,0.305081,1.17284,-0.977525,0.899791,-0.353433,-0.069134,-0.307547,-0.610504,0.304111,-0.323675,-0.448069
0.691809,0.305516,1.17192,-0.979832,0.899333,-0.350309,-0.0692502,-0.307987,-0.610414,0.304387,-0.323998,-0.447835
0.701708,0.305938,1.17093,-0.982083,0.898886,-0.347166,-0.0693605,-0.308414,-0.610322,0.304643,-0.3243,-0.447611
0.711834,0.30625,1.16929,-0.983816,0.898539,-0.343863,-0.0694176,-0.308733,-0.610213,0.304728,-0.324416,-0.447468
0.721882,0.30655,1.16757,-0.985492,0.898204,-0.340542,-0.0694689,-0.309039,-0.610101,0.304793,-0.324511,-0.447333
0.731751,0.306747,1.16519,-0.986646,0.897963,-0.337068,-0.069474,-0.309238,-0.609975,0.304689,-0.324419,-0.44732
0.743217,0.306933,1.16273,-0.987741,0.897734,-0.333576,-0.0694265,-0.309425,-0.609848,0.304565,-0.324308,-0.44732
0.751958,0.307013,1.15965,-0.988314,0.897599,-0.329935,-0.069379,-0.309503,-0.609698,0.304275,-0.32401,-0.44732
0.763467,0.307081,1.15649,-0.988829,0.897474,-0.326276,-0.0693316,-0.30957,-0.609546,0.303967,-0.323693,-0.447417
0.772106,0.307039,1.15272,-0.988826,0.897462,-0.322477,-0.0692162,-0.309529,-0.609368,0.303497,-0.323193,-0.447514
0.783623,0.306985,1.14888,-0.988766,0.897516,-0.318662,-0.0690933,-0.309475,-0.609188,0.303009,-0.322672,-0.44761
0.791965,0.306822,1.14444,-0.988197,0.897571,-0.314723,-0.0689196,-0.309313,-0.608985,0.30236,-0.321974,-0.447847
0.812166,0.306358,1.13487,-0.986452,0.897828,-0.306709,-0.0685107,-0.308847,-0.608545,0.300871,-0.320363,-0.448452
0.823709,0.306058,1.12974,-0.985277,0.898047,-0.302636,-0.0682755,-0.308543,-0.608309,0.30003,-0.319452,-0.448816
0.832222,0.305642,1.12408,-0.983625,0.89838,-0.298471,-0.067991,-0.30812,-0.608045,0.299034,-0.318371,-0.449288
0.843725,0.305213,1.11837,-0.98192,0.898725,-0.294297,-0.067701,-0.307684,-0.607777,0.298021,-0.31727,-0.449772
0.852225,0.304665,1.11215,-0.979763,0.899199,-0.290057,-0.0673629,-0.307129,-0.607483,0.296856,-0.316002,-0.450373
0.863861,0.304047,1.10525,-0.977334,0.899736,-0.285385,-0.0669851,-0.306504,-0.607157,0.295556,-0.314586,-0.45105
0.872335,0.303343,1.0985,-0.974658,0.900381,-0.281093,-0.0665888,-0.305792,-0.606833,0.294209,-0.313114,-0.451807
0.883848,0.302639,1.09174,-0.971981,0.901027,-0.276801,-0.0661925,-0.305081,-0.60651,0.292862,-0.311642,-0.452564
0.892343,0.301785,1.08462,-0.968875,0.901849,-0.2725,-0.0657438,-0.304215,-0.60616,0.291351,-0.309986,-0.453477
0.903597,0.30093,1.0775,-0.96577,0.90267,-0.2682,-0.065295,-0.30335,-0.60581,0.28984,-0.30833,-0.45439
0.912449,0.299917,1.07009,-0.96228,0.903687,-0.263935,-0.0647942,-0.302324,-0.605436,0.288164,-0.306492,-0.455476
0.924601,0.297713,1.05505,-0.954962,0.905936,-0.255487,-0.0637412,-0.300093,-0.604665,0.284649,-0.302634,-0.457841
0.932381,0.297713,1.05505,-0.954962,0.905936,-0.255487,-0.0637412,-0.300093,-0.604665,0.284649,-0.302634,-0.457841
0.944019,0.295142,1.03966,-0.947027,0.908639,-0.247257,-0.0625855,-0.297489,-0.603849,0.280805,-0.298407,-0.46061
0.952429,0.295142,1.03966,-0.947027,0.908639,-0.247257,-0.0625855,-0.297489,-0.603849,0.280805,-0.298407,-0.46061
0.964749,0.292175,1.0242,-0.938597,0.911848,-0.239357,-0.0613263,-0.294486,-0.602989,0.276625,-0.293802,-0.463823
0.972647,0.292175,1.0242,-0.938597,0.911848,-0.239357,-0.0613263,-0.294486,-0.602989,0.276625,-0.293802,-0.463823
0.984699,0.288781,1.00895,-0.9298,0.915617,-0.231916,-0.0599616,-0.29105,-0.602085,0.272093,-0.28881,-0.467528
0.992738,0.288781,1.00895,-0.9298,0.915617,-0.231916,-0.0599616,-0.29105,-0.602085,0.272093,-0.28881,-0.467528
1.00399,0.284911,0.994177,-0.920767,0.919999,-0.228329,-0.0584893,-0.287135,-0.601136,0.267188,-0.286216,-0.471775
1.01289,0.284911,0.994177,-0.920767,0.919999,-0.225085,-0.0584893,-0.287135,-0.601136,0.267188,-0.283413,-0.471775
1.024,0.28285,0.98694,-0.91621,0.92235,-0.22184,-0.057726,-0.28505,-0.60065,0.26464,-0.28061,-0.47404
1.03282,0.280509,0.980183,-0.911647,0.925045,-0.219016,-0.0569067,-0.282683,-0.600135,0.261889,-0.27758,-0.476611
1.04401,0.278168,0.973426,-0.907083,0.927741,-0.216193,-0.0560873,-0.280316,-0.59962,0.259137,-0.274551,-0.479182
1.05284,0.27552,0.967311,-0.902585,0.930805,-0.213879,-0.0552088,-0.277639,-0.59907,0.25616,-0.271277,-0.482087
1.06353,0.272873,0.961196,-0.898087,0.93387,-0.211565,-0.0543303,-0.274961,-0.598521,0.253184,-0.268002,-0.484992
1.07277,0.269886,0.955888,-0.893729,0.937325,-0.209852,-0.0533897,-0.271941,-0.597925,0.249957,-0.264461,-0.488261
1.0842,0.2669,0.95058,-0.88937,0.94078,-0.20814,-0.052449,-0.26892,-0.59733,0.24673,-0.26092,-0.49153
1.09291,0.263532,0.94625,-0.885226,0.944642,-0.207123,-0.0514432,-0.265516,-0.596673,0.243227,-0.257082,-0.495192
1.10399,0.260164,0.941921,-0.881082,0.948504,-0.206107,-0.0504373,-0.262113,-0.596016,0.239724,-0.253244,-0.498854
1.11297,0.256366,0.938737,-0.877217,0.952786,-0.205879,-0.0493621,-0.258275,-0.595277,0.235906,-0.249071,-0.502939
1.12404,0.252568,0.935553,-0.873352,0.957069,-0.205651,-0.0482869,-0.254437,-0.594538,0.232088,-0.244898,-0.507024
1.13302,0.248289,0.933666,-0.869821,0.961774,-0.206306,-0.0471375,-0.250113,-0.593689,0.227909,-0.240344,-0.511557
1.14362,0.24401,0.93178,-0.86629,0.96648,-0.20696,-0.045988,-0.24579,-0.59284,0.22373,-0.23579,-0.51609
1.15309,0.239193,0.931326,-0.863139,0.971598,-0.208588,-0.044759,-0.240927,-0.591844,0.219134,-0.230799,-0.521096
1.1638,0.234375,0.930872,-0.859987,0.976717,-0.210216,-0.0435301,-0.236064,-0.590848,0.214538,-0.225808,-0.526102
1.17306,0.228948,0.931972,-0.857244,0.982223,-0.212907,-0.0422161,-0.230586,-0.589653,0.209461,-0.220316,-0.531608
1.18402,0.223521,0.933072,-0.854501,0.987729,-0.215598,-0.0409022,-0.225108,-0.588458,0.204385,-0.214824,-0.537115
1.19322,0.217416,0.935806,-0.852151,0.993579,-0.219444,-0.0394991,-0.218944,-0.587004,0.198757,-0.208762,-0.543133
1.20417,0.210626,0.938978,-0.849598,1.00004,-0.223797,-0.0379467,-0.21209,-0.585373,0.192506,-0.202031,-0.549801
1.21319,0.203789,0.943362,-0.84758,1.00616,-0.228871,-0.0364535,-0.20519,-0.583598,0.186264,-0.195339,-0.556311
1.2242,0.196878,0.9479,-0.845588,1.01229,-0.234067,-0.034952,-0.198216,-0.581786,0.179959,-0.188583,-0.562865
1.23342,0.189296,0.953833,-0.843828,1.01853,-0.240358,-0.0333758,-0.190569,-0.579633,0.173082,-0.181244,-0.569818
1.24397,0.181642,0.959902,-0.842085,1.02477,-0.246764,-0.0317924,-0.18285,-0.577438,0.166142,-0.17384,-0.576807
1.25342,0.173336,0.967201,-0.840487,1.031,-0.254198,-0.0301449,-0.174476,-0.574866,0.15863,-0.165861,-0.584119
1.26399,0.164962,0.974611,-0.838895,1.03721,-0.261736,-0.0284917,-0.166035,-0.572248,0.151058,-0.157821,-0.591456
